id,fulltext,label
20, saya isi brizzi melalui toped kemaren sore tpi hingga siang ini belum masuk,negatif

21, min pembeli komplain gk bisa pake bebas ongkir di tokoku pdhal stelah dicek bebas ongkir ttp aktif gmn solusinya ,negatif

22, min minta info details juga bisa tenants apa saja yg bisa memdapatkan voucher super electric life nuhun,netral

23, di dm twitter atau dm app tokped nya dua dua nya gada kak,negatif

24, saya mau beli kelas prakerja kok selalu muncul tulisan gagal dalam memuat sih padahal nomor dri kartu prakerja nya sudah benar semua,negatif

25, berpengaruh deh kayanya karna harus nama yg dpt prakerja nya,netral

26, bagaimana melihat point yg d dapaat dri transaksi di mitra tokopedia,netral

27, kalau kita pernah isi token listrik kan ada referensi nomor yg pernah diisi sebelumnya nah itu mau saya hapus riwayatnya makin sering isi token listrik makin numpuk suggestion nya,negatif

28,minaku udah dari tgl  selesaikan pelatihan di arkademi kenapa sampai sekarang sertifikatnya belum muncul di dasboard prakerja padahal di web arkademi nya sendiri udah selesai pelatihannya udah dapat sertifikat juga makasih,negatif

29, saya ingin menghapus history pembelian token listrik pln saya sering salah beli token karena riwayatnya tertumpuk dengan nomor listrik yang pernah saya isi sebelumnya,negatif

30,  silahkan untuk informasi lebih lanjut silahkan cek dm kami atau hubungi whatsap halo bca  respon cepat tks kaka,netral

31, ini ada masalah apa ya kok tidak bisa penarikan ,negatif

32, punya kakak kemarin sertifikat nya langsung keluar apa nunggu kaya punya aku gini padahal di tokopedia sama skill akademi sama udah ngasih ulasan ,negatif

33, enggak kan yang dapet prakerja mama terus yg ngerjain skill akademinya aku terus mama bilang coba sertifikat nya kalau bisa pakai nama kamu aja kira berpengaruh gak,netral

34, boleh nanya gak kenapa beda apa karena email kah,netral

35,  min saya sudah memberikan ulasan di tokopedia juga di skill akademi kira ini kenapa tidak centang hijau dan kapan sertifikatnya bakal bisa dikonfirmasi ke akun prakerja ,negatif

36, eh kak maaf jbjb kalau misalkan nama yg dipakai buat skill akademi di sertifikat beda sama nama pengguna tokopedia sama prakerja kira sertifikatnya bakalan bisa masuk gak kan soalnya aku yg dapet prakerja mama terus bilang sertifikatnya isi nama kamu aja tapi buat no hp sama,netral

37,iya kak soalnya email prakerja sama pelatihan maupun ewallet beda gak papa kan yang penting no hp sama ya,netral

38,  kak nomor resi ini kok tidak ada update lagi ya ,negatif

39,gada otak emang bisanya ga valid lain kali kalau retur sediain resi otomatis,negatif

40,  kok saya ga direspon ya sampai detik ini ini gimana coba level saya udah diamond yg balas malah bot ,negatif

41,rtadmin tolong dong ya kok ga valid resinya yg bener aja kok bisa kayak gini sih ,negatif

42, oke kak mohon bantuannya,positif

43, berhari hari error mulu pas pembayaran kenapa ya ,negatif

44, saya buat tweet kayak gini karna saya ga direspon sama admin di aplikasi tokopedianya padahal level saya sudah diamond ini bagaimana coba sekelas diamond aja ga ditanggapin loh yg balas malah si tanya alias si botnya tokopedia heran saya sama  ,negatif

45, admin tolong dong ya kok ga valid resinya yg bener aja kok bisa kayak gini sih ,negatif

46,  wah sama nih udah bbeberapa hari begini ga bisa transaksi kenapa ya,negatif

47,boleh aja ka karna aku udah lulus praker juga  sertifikat bakal tetep masuk ko yg penting no hp sama semua yaa dari akun praker toped skillacademy eh nanya nya sama kan kaya pertanyaan aku,positif

48, hoiini lhodilihat dulubener gak ini barangnya mangkrak gak dikirim mulai tanggal  baru dikirim hari ini  ,negatif

49, akun bodong min ,netral

50, sudah di dm yaa,positif

51, halo tokopedia saya mau tanya barang saya tidak kunjung sampai nih saya udah telepon ekspedisi dan katanya barang tertukar pihak namun sudah  hari tetap tidak ada kabar yang saya mau tanyakan apabila barang tidak kunjung datang ini apakah akan autoselesai,negatif

52, okay terima kasih infonya,positif

53,iya ka karena email ma nomer hp masing udah terdaftar di bukalapaknetralrus pas coba login tokped akun udah dinonaktifkan  jd inget pengalaman saya dulu bisa beli di tokped yg beda akunnya jd mau mastiin lg takutnya udah beda lg ketentuannya ka,netral

54, ok kak udah aku reply di dm,positif

55, halo selamat malam mau tanya kenapa conversi cicilan saya belum masuk ya ke bank  padahal sudah x statement masih full tertagih bagaimana ini  transaksi tanggal  februari tagihan saya masih full ,negatif

56,tadi beli pulsa  didari jam  sore masih belum masuk gimana yaa ko lama bgt,negatif

57,  kok tokopedia curang ya pengembalian dananya ga  dari total barang yg saya belanja  ini yg malingnya grab apa tokopedia nihini kok jadi kayak abg labil ya tokopedia aduh gimana nih temen saya pada nanyain belanja tokped aman apa ga wkakkakakaka ,negatif

58, link  amp link  produk amp harga sama punya rating produk berbeda link ke  saya post pertanyaan saya mengenai produk ini di forum diskusi tapi tidak pernah respon jg susah sekali hubungi seller ini,negatif

59,min  saya beli pulsa di tokped kok blm masuk yah diproses mulu,negatif

60, selamat malam admin saya baca berita dari pln ada pogram super electrilife untuk diskon tambah daya yang juga bekerja sama dengan e commerce apakah ada info lebih detail nya admin  terima kasih,netral

61, haloini ada admin nya ga bales lah dm gwkacau nih barang ga nyampe masih aja pake di  tau penjual penipu,negatif

62, bagaimana ini penjual tidak merespon saya sama sekali saya kirim pertanyaan yg sama via inbox juga hanya dibaca tidak pernah merespon saya coba kirim screenshot ini di platform tokopedia gagal kirim gambar ,negatif

63,bantu jawab sebaiknya disamakan kak tapi kalau terpaksa beda pengalaman sebelumnya bisa aja kak nanti diulasannya tulis nama kakaknya,positif

64,rt  mohon bantuanyasaya komplain melaui email tp banyak sekali yany harus di lengkapi dan berulang,negatif

65, halo kaka adminmau tanya masih bisa beli pelatihan prakerja di tokopedia dengan nomer hpemail terdaftar yg berbeda ga ya saya liat sudah ada banyak pelatihan di tokopedianetralerima kasih,netral

66, min kalo ada kasus komplain berujung retur refund tapi sellernya kasih alamat retur ke papua yang mana bukan alamat asli mereka itu bakal kena sanksi nggak sih soalnya bikin resah juga banyak yg ngepost kaya gini di beberapa forum facebook,negatif

67,  btw tokped beneran ngadain beginian ,netral

68, halo saya membeli dan telah menyelesaikan pelatihan prakerja kelas menulis di  melalui tokopedia namun hingga saat ini sertifikat pelatihan belum muncul di akun pra kerja saya mohon konfirmasinya ,negatif

69,  aku juga begitu kak bikin sampk aneh aja dah lama semua akun dianggep punya  orang doang ckck lagian apa salahnya payment pake mbanking orang dah min yg penting bayar toh ga semua orang punya mbanking soalnya ,negatif

70, hayra bisa kasih aku nomor telfon csnya aja ga aku mau telfon aja,negatif

71,  aku tau sebenernya kendalanya gara temen aku juga pakai kode promo yg sama nah aku tuh kebetulan pernah isiin ovonya dia jadi kedetect sebagai kecurangan udah x komplain masih belum dibenerin juga sistemnya hahaha aku uninstall ajalah capeq,negatif

72, ini sampe kapan bakal begini ,negatif

73,min  saya selalu gagal melakukan pembelian pelatihan knp yah,negatif

74, maintenance sampe kapan min wong kupon tersedia ya dipake malah transaksi dibatalkan ,negatif

75,  ini emang goblok asli ni paketku dari senin statusnya shipment to buyer  ini juga ga rekomen blas paketku aja pernah ilang di mereka hadeh,negatif

76, min aktivasi ovo saya gagal error gimana nih,negatif

77,  sekelas perusahaan ini tidak bisa memberikan info yang jelas dan sangat payah menangani laporan meminta data ktp tanpa alasan yang jelas,negatif

78,rtseperti robot tidak menjawab pertanyaan minta ktp aja trus saya butuh penjelasan permasalahan saya,negatif

79, min gw suka belanja di tokped,positif

80,rt  samasama kak arie senang kendalanya udah berhasil diselesaikan yaa ,positif

81, min baca dm dong gw mau nangis tau ih baru jadi mitra seller baru mau tarik saldo malah di hold,negatif

82,baru kali ini kecewa samaudah sampe jadi gold member malah diginiin alasan di email sama tokped care beda gimana sih,negatif

83, selamat malam saya mohon bantuannya adik saya punya akun tokped dan saldo yang lumayan banyak karena refund tiket yang dibatalkan namun karena nohp yang digunakan untuk verifikasi kelupaan ditopup sehingga hangus jadi tidak bisa menarik saldo,negatif

84, saldo sudah terpotong dan status sudah aktif di dasbor prakerja mau ikut pelatihan kaga bisa soalnya ga dpt kode dr tokopedia nya tp kenapa status nya nunggu pembayaran sedangkan saldo sudah terpotong,negatif

85, nomor kontak wa ku udah di blokir soalnya keknya emang nakal seller nya,negatif

86, sudah min,positif

87, halo klu sudah jadi mitra tokopedia apa tidak bisa dapat bannerspanduk seperti marketplace sebelah,negatif

88, kmarin udah coba x ga ada kode otp sms masuk barusan blm ada mnt coba x lg tetap ga nerima kode otp smsini gmana mau masukin norek bank buat terima duit penjualan klo ga ada kode otp sms masuksinyal nohp kuat no aktif sms hari sekian x coba ga terima jg ,negatif

89, dm saya tolong dtanggapi terima kasih,negatif

90, udah ku coba kak tapi gak bisa soalnya udah ku selesaikan,negatif

91, ga ada dm min,negatif

92, sudah saya respon mohon di tanggapannya terima kasih,positif

93, halo min bsa dicek utk kupon emas mega cashback sya yg hilang padhal blm dipakai,negatif

94,halo min  kenapa dana refund trx  belum kembali ke saldo saya diinfokan sebelumnya maksimal tanggal  maret seharusnya sudah kembali terimakasih min ,negatif

95, sore min saldo tokopedia itu gabisa diapaapain ya selain ditarik bisa gak saldo tokopedia untuk pembayaran barang yang akan dibeli,negatif

96, min saya ga bs beli paket prakerja kenapa ya pdhl udh jam loh ga saya coba masi aja begitu tulisannya ,negatif

97,ivrxxiiii sudah lewat sejam  babi,negatif

98, kak mau komplen barang yang datang tidak sesuai dengan yang ada gimana ya,negatif

99,  selamat sore min mohon bantuan nya pembelanjaan dengansedang dalam tahap komplain tapi saya salah klik batalkan komplain terimakasih,netral

100, halo min saya beli pulsa terakhir tanggal  maret tapi kok udah kena limit ya emang peraturan limitnya ini gimana sekarang ,netral

101, min mohon bantuannya saya ada dm terkait kendala pembelian barang saya mohon bantuan min karena uangnya ga kecil ,negatif

102, pembayaran ovo sedang down ya drtd ga bisa ,negatif

103,jika mengirim pesanan tidak menggunakan kode booking jne melainkan input manual resi jne apakah biaya pengiriman yg sudah dibayarkan oleh penjual bisa di cairkan kepada penjual ,netral

104, halo min semua kupon mega cashback maksimal bisa dpakai hari ini tgl  maret  ya,netral

105, cara dapat voucher tambah daya pln buat program super electrilife gimana ya,netral

106, ini mau beli pulsa kenapa gagal dananya juga belum masuk ,negatif

107, seperti robot tidak menjawab pertanyaan minta ktp aja trus saya butuh penjelasan permasalahan saya tunggu telpnya kenapa tidak berani dikontak ,negatif

108, hati jualan di shopee transaksi sdh selesai tp dana di tahan gk masuk saldo seller cuma jualan dishopee yg seperti ini jualan di  aman aja gk ada tuh tahan uang seller parah sih  keliatan gk profesional,negatif

109, weisss cepet juga lu min ,positif

110, maaf min bisa bantu penjelasan apakah dananya sudah refaun ke akun saya ,netral

111,  maksudnya gimana ya saya tunggu telp penjelasannya  akun dalam  rumah tidak boleh dapat cashback atau bagaimana minta ktp akun lain di akun saya ,negatif

112,  kendalanya sama udah x bikin emosi terus dm lama dibales telp cs gak tau nomornya,negatif

113,ringtone defaultnya pengang amat di telinga bikinin opsi ganti ringtone di appnya dong ,negatif

114, wakakaka maap marah ya mas mbak abis aku tu capek wkwk,negatif

115,  sdh brp kali sy jelaskan sy sdh menghubungi penjual tapi sampai skr tdk ada tanggapan ,negatif

116, tuh aku dah komplain total  kali tetep gabisa memang  sistemnya ,negatif

117,  sdh brp kali sy jelaskan sy sdh menghubungi penjual tapi sampai skr tdk ada tanggapan ,negatif

118, mohon cek kembali dm nya kak,netral

119, udah daritadi kak coba tolong respon yaa,negatif

120, halo min mau tanya kalau transaksi pakai ovo points lalu dibatalkan saldo yg masuk setelah direfund itu ke saldo apa ya thank you,netral

121,positiferihal beli pulsa aja esmosi betul saya sama tokopedia  ,negatif

122, di dm saya belum masuk,negatif

123, cara ngilangin pembayaran bri ceria bagaimana ini saya saya mau pilih pembayaran yang lain tidak bisa,negatif

124, saya sudah kirim email berkali kalimengirimkan bukti juganetralp responnya mengecewakanbahkan saya di kasih waktu smpe jam  oleh  apabila tdk bisa menunjukan bukti jadi sukses pembeliannyabagaimana ya baiknya ,negatif

125, kronologinya  saya membeli barang yg di gadang barang asli netralernyata waktu barangnya tibabarangnya palsu di saat saya minta tolong di cancel dr pihaksyaratnya bertele telejelas dr boxnya pun sudah terlihat palsu,negatif

126, dm nya belum masuk,negatif

127,  tolong di cancel transaksi saya dengan no ini ,netral

128, saya minta bantuannya kepadauntuk menggagalkan transaksi saya dengan code sebagai berikutkarena yg saya order tidak sesuai dengan yg di kirimdan saya tlp tidak meresponnetralerima kasih ,negatif

129, min tolong bales dm saya padahal saya udh nge mention brp kali,negatif

130,mohon bantuanyasaya komplain melaui email tp banyak sekali yany harus di lengkapi dan berulang syaa tlp ke no call center tidak ada yang angkat bagaimana ini,negatif

131, min tampilannya enakan yg lama yg sekarang jd lelet gitu ,negatif

132, knp sih hr ini verifikasi pin ovo loading lama banget dan gagal sudah coba clear cache dan reinstall masih gitu jg,negatif

133, saya tidak bisa menggunakan kode voucher yg terdapat pada ivrxxiiii bagaimana caranya,netral

134, siang admin cara dapat voucher tambah daya pln buat program super electrilife  gimana ya caranya sy ada pembelian elektronik tapi tidak dapat voucher,netral

135, maksudnya jam perbaikan gmn emang ini lg perbaikan atau gmn,negatif

136, ini knp ya koq gagal terus ,negatif

137,  yg jawab robot  toko yg beneran jujur d suspend capek deh,negatif

138, misi min ini mau dibayar kog g bisa ya saya sudah kealfamart tp g bisa katanya ,negatif

139,  beneran kan om pagi ini kupon om pasti ud muncul lagi tapi kupon om yang valid sampe kemarin hilang dan gak bisa pake memang tujuannya cuma mau bikin basii kupon kemarin makanya ane blg lg kehabisan modal wkwkwk,negatif

140, min sy uda pilih pengiriman reguler ongkir rb utk dalam pulau yg sama dari toko yg pake logo gratis ongkir dan jml pembelanjaan sdh lebih dr rb tp kok di daftar biayanya ongkirnya masi tetep rb ga ada pemotongan ongkirnya,negatif

141, min saya mau beli barang terus pake pengiriman gratis ongkir tapi kurir pengirimannya kepilih otomatis antaraja saya mau pake gratis ongkirnya sicepat aja bisa ga,negatif

142,rt preventive nya tokped bagus lah ya dibuat sedetail mungkin,positif

143,efek akan merger dengan gojek ,negatif

144,sejak kemarin malam selalu gagal pas mau checkout di  pakai  ,negatif

145, halo min ini voucher hasil top quest saya kok ga ada ya pdhl blm dipake,negatif

146, kupon yg saya dapet dari selesaikan tantangan official store kok gak ada semua min kemarin siang sebelum maintenance masih ada ini saya lihat siang ini udah gak ada padahal saya belum pakai masa aktifnya juga kan sampai akhir bulan gimana nih min,negatif

147, pembayaran tagihan kartu kredit mandiri di tokped bisa bayar pake metode transfer bca,netral

148, min komplain  sudah lebih dari  hari kerja loh kapan mau diselesaikan apalagi yg ditunggu,negatif

149,  pasti oh ya dr awal sampai akhir komunikasi kata maaf satu aja ga terlontar lho luar biasa,negatif

150,enak ya  main tuduh tuduh aja punya akun ganda padahal akun cuma  dan selama ini pakai promo cashback lancar terus kalo emg gamau kasih cashback ilangin aja programnya payah ,negatif

151,  wah minta  hukum aja tuh seller nya niat ga baik,negatif

152, padahal saya ga nanya apaapa tenang min sdh dihandle sama dik cahya kok ntar kalau ada apaapa saya info ya makasih banyak lho atensinya,positif

153,  ini ubah tampilan kok tombol promo jadi hilang ya kalau mau cari page promo dari android cari dmn ya,netral

154, min sya mau bayar pke ovo dri kemarin kok gabisabisa ,negatif

155,  tapi tokped keren sih perlindungan kostumernya bagus banget,positif

156,  dapet figur yang sama tapi kw bukan original bandai ,negatif

157,  jd skr resolusinya seller ksh alamat buat gue retur barang nanto toped lepas balik dana refund ke gue ya rugi waktu jadinya ama emosi dikit hahaha dituduh boong ama seller,negatif

158, permisi mau nanya boleh daftar jadi official store tapi toko baru buka nggak belum ada transaksi penjualan atau produk akan mulai berjualan jika toko sudah menjadi official store,netral

159,  terima kasih telah menemani saya selama beberapa tahun tapi di karenakan tokopedia banyak masalah diantaranya ketika saya menggunakan promo vouchee cashback dari tokped harus hubungi cs amp klaim gugatan,negatif

160,  saya juga mestinya masih punya kupon cashback  hingga rb buat official store dapet dari jalanin tantangan itu ga balik juga abis pemeliharaan sistem ,negatif

161,  min  ini pemeliharaan sistem dah kelar kupon saya banyak ga balik  pdhl mau beli pulsa kemarin ini punya kupon diskon rb buat beli pulsa min rb skrg gaada pdhl kalo ga salah inget berlaku sampe tgl  maret,negatif

162,makasi cahya dari pusat resolusi  sdh melindungi kami prompt response ,positif

163,  kacaaaw pernah juga begini pas beli figur monsternya ultraman tapi ga kepikiran komplen ,negatif

164,ada seller di toped iklankan barang ori di judul maupun deskrispi pesan datangnya kw gue komplain eh dia ganti deskripsibahwa yg dijual kw katanya gue ga baca deskripsi admin  mutusin seller ada datanya ganti deskripsi setelah komplain retur refund,positif

165, sekarang udh ngga bisa pake ovo ya gagal terus saya min,negatif

166,hi  kenapa saya mau ubah nomor telefon tidak bisa terus ya nomor lama saya sudah tidak aktif soalnya terimakasih ,negatif

167, mimin kenapa apl tokopedia saya tidak bisa melakukan pembayaran padahal saya sudah delete ampinstal lagi apl nya ,negatif

168, saya mau melakukan pembayaran pake ovo tapi sulit sekali veriikasi pin nya kenapa yah ,negatif

169, min pemeliharaan sistem tokopedia sampai kapan ya tadi masukin kode promo kuponnya gak bisa ada keterangan beberapa kupon mungkin tidak muncul karena pemeliharaan jaringan,negatif

170,ngapain ku masuk pusat resolusi ini bukan salah seller jadi ga perlu saya selaku buyer bikin komplain yg melibatkanbl seller ini kalian  yang harusnya hubungi itu pihak kurir aku sebagai buyer yo males hubungi pihak kurir  ini ganti aja udah ,negatif

171, ini kenapa gx bisa bayar terus  kalo pake vpn baru bisa bayar aneh ,negatif

172, halo kupon saya banyak yang belum balik nih tolong cek dm tks,negatif

173, min kerja sama akulaku ke min mau belanja pakai akulaku jadi pindah ke platform lain,negatif

174,paket saya  kok tidak bergerak ,negatif

175, parah sih ini udah dari rabu ke rabu belum sampai juga jangan tanya lagi no  tuh baca dm dengan  dari kemarin mati sudah ini taneman monstera gua bangsat ,negatif

176, halo min sya dah pake kupon mega cashback produk travel amp entertainment stelaha sya pake kuponnya masih tersedia di list kupon saya apakah itu berarti kuponnya masih bsa sya pakai kembali,netral

177,aku beres pelatihan dari tanggal  kak belum juga masuk sertifikatnya aduh gimana dong,negatif

178, kalo pake browser gada bebas ongkir ya kan pake tokped biar ada itu min ada masalah kah di app nya  berasa lebih ribet ,negatif

179, kenapa sudah saya refresh keranjangnya tetep aja kuponnya ga mau masuk padahal sudah memenuhi syarat minimal pembelanjaan ,negatif

180, terimakasih min,positif

181, bales dong dm saya minnn,negatif

182, min min kenapa permohonan penggantian nomor saya ditolak nama akun saya dengan ktp emang berbeda karena itu cuma nama samaran,netral

183, amiinn terima atas doanya min semoga tokopediq juga semakin lancar jaya ,positif

184, kak mw tanya kenapa tidak muncul riwayat pembelian pelatihan yg menggunakan saldo prakerja di transaksi pelatihan mohon bantuan kak mkasih,negatif

185, saya termasuk orang yang harus target lebih tinggi karena sudah dinanti sama kekasih ke pelaminan ,positif

186, belum ada dm min ,negatif

187,  sy mah yakinlah itu jurus bim salabim nya buat ngeles gak bakal muncul lg kupon om sampe basi malem ini wkwkwk,negatif

188, ini kenapa ya  jaringan atau koneksi saya lg bagus btw ,negatif

189,  kehabisan modal gpp tapi ya jgn hilangkan kupon yg didapat krn kita rajin belanja sia kan belanja di official store ngumpulin kupon diskon bertahap jgn tiba bubar jalan mergernya dgn gojek pula bkn dgn grab kan mantul tuh kalau raja cashback n ratu cashback gabung,negatif

190,saya alhamdulillah udh keluar di dashboard kak barusan saya cek memangnya kakak udah nyelesaiin pelatihan dri kapan ini saya dihari ke  baru keluar sertifikatnya di dashboard kak semoga punya kakak juga cepet keluarnya yaa ,positif

191, belum solved nih sampai sekarang kupon mega cashbacknya yang harusnya hari ini terakhir masih bisa digunakan masih tidak bisa diakses ,negatif

192, lagi ada gangguan setiap transaksi muncul web page not available,negatif

193, udah di jawab,positif

194, udh dibls min cek dm lg ya mksh,positif

195, min kok tadi sore dirumah saya dapet ini dari tokopedia amp saya juga gak belanja di tokopedia  ,negatif

196,  lagi kehabisan modal om yang beginian aj ngajak dm wkwkwk doyan ngamar ,negatif

197,  lagi kehabisan modal kayanya om ,negatif

198, hi kupon saya kok menghilang kalau sudah ganti hari bagaimana ini karena maintenance expire hari ini ,negatif

199, min program electrilife dari pln itu gmn prosesnya ,netral

200, kak saya suda balas,positif

201,  ini kupon nya maintenance sampe kapan ya kupon g pd ilang nih,negatif

202,berasa lagi di mall mall yg masuknya di batesin dan mesti antri karena peraturan psbb,negatif

203, makasih min,positif

204, dari ovo ganti jadi gopay,netral

205, min cb ovo ku ko ga masuk,negatif

206, ga membantu dah,negatif

207, pengaduan saya no  sampai dimana progresnya  kok gak ada kabar,negatif

208, minta info nya kalo gak pernah login ke akun toko otomatis tutup dalam waktu berapa bulan ya,netral

209,  mana punya bbrp kupon megacashback yg mau dipakai hari ini krn expire hari ini ,negatif

210, terima kasih tumben gercep,positif

211,  iya sama nih kasusnya,netral

212, siap sudah saya balas terima kasih,positif

213, selamat malam pemeliharaan sistem di bagian kupon ini sampai kapan ya kupon cashback yang saya lingkari tidak ada di dalam kupon yang saya miliki mohon penjelasannya ,negatif

214,gw sekeluarga udah ungsi semua ke lapak tetangga online shop paling gak fair sekeluarga tinggal  rmh msg punya akun pribadi dan ud diverifikasi pake ktp tiap x transaksi pake promo dijegal kesamaan data mesti komplain dulu kaya ngemis aj baru dibayar sistem gembeeel,negatif

215, halo min kuponnya kpan bisa diakses lagi ya,negatif

216, status pengiriman paket saya no tknx bagaimana ya kok saya tracking hanya shipping di  ,netral

217, kok saya mau beli barang pake ovo sudah ga bisa efek merger ama,negatif

218, sampe kapan main tenisnya min mau blanja jadi males nih kalo tetep ga nongol saya pindah ajalah ke tetangga oranye belanjanya kuponnya selalu ada ,negatif

219, min ko cb ovo points aku ga masuk,negatif

220, ovo udh ga bsa,negatif

221,rt  mimin sih semangat terus makasi yaa  ada yang udah mutermuter hpnya juga buat nemuin pesan rahasia dari mimin,positif

222, pemeliharaan sistem sampe kapan ya mau pake kupon soalnya,negatif

223, mohon info email tokopedia untuk pengajuan sertifikat polis proteksi tagihan min informasi dari premiro sertifikat tsb didapatkan dari tokopedia terima kasih,netral

224, apakabar paket saya nih  tolong di bantu nasib paket saya,negatif

225, min ini kenapa kupon saya kok hilang semua dan cuma disisain satu aja kupon saya harusnya ada  ketika dibuka kok cuma  doang  ,negatif

226, cek dm min butuh bantuan,negatif

227,rt  udah cek info fitur wawasan produk dari mimin fitur apalagi yang kalian pengen bahas reply di sini yaa,netral

228,  idol group tanah air dong,positif

229, belum ada kendala kakak cuma nanya saja proteksi elektronik bisa mengcover kasus barang palsu apa tidak,positif

230, kupon saya pada hilang kemana ,negatif

231, ok terima kasih kak,positif

232,belanja  bulan ini sungguh ugalugalan top quest selesai semua  ,positif

233,rt  udah cek info fitur wawasan produk dari mimin fitur apalagi yang kalian pengen bahas reply di sini yaa,positif

234,haloini kupon kok tidak bisa diakses ya,netral

235, tolong tanya min saya order barang terus pihak penjualnya nyuruh saya buat cancel orderan karna pihak penjual ada kesalahan menginput stok barang saya pake voucher rb kalo dicancel vouchernya hangus dong ,netral

236, baru pada masuk min thanks yak,positif

237, selamat sore  yang terhormat kok refund tiket pesawat lama sekali ya sudah lebih dari  hari saya refund nya tanggal  desember  mohon penjelasannya,negatif

238, woke sudah saya balas,positif

239, yuk dus gemesnya buat persiapan lebaran link toko cek profil ya  ,positif

240, min tolong di kembali inv  selisih ongkir selalu dengan  dan pasti yg selisih pengiriman jauh alias luar kota padahal pake ekspedisi lain gk pernah kena selisih,negatif

241, min ini kenapa pembayaran via ovo kok gagal memuat halaman terus ya,negatif

242, min check dm nya masa member diamond dicuekin ,negatif

243,positifaling males emang kalo komplen di olshop karena lama banget prosesnya dan ga bisa ditelpon juga cc ,negatif

244, dibereskan dulu permasalahannya baru kami hapus biar seller lain bisa lihat dan bisa lebih berhatihati juga terhadap permasalahan ini,negatif

245, sudah kami dm ke kakak mohon segera dibantu ,positif

246, selamat sore untuk cetak etbpkp ini id pengesahan yg dituliskan yg mana ya di bukti pembayaran melalui tokopedia  tidak ada bukti bayar yg terkirim di sms tdk sengaja terhapus saat mau cetak mohon dibantu terima kasih ,negatif

247,  kupon pada ilang kenapa ya min,negatif

248,  min saya kemarin refund orderan ini tp penggantian ongkir kirim balik barang nya kok blm masuk ya saya udah upload foto ktp,negatif

249,  tolong temen saya ya min ,netral

250, system tokopedia memotong ongkir lebih besar dari seharusnya padahal beratnya sesuai gram,negatif

251,  mau min,positif

252,  ternyata bukan cuma saya yang pakai kupon cashback dan transaksi berhasil tapi benefit dari cashbacknya belum masuk banyak nih dan ini salah satunya yang terbaru tokped kok banyak problem sekarang mana  reksadana disitu pula lagi  ,negatif

253, setuju dong mintoooo ,positif

254, kalau daftar jd seller tp pakai nama perusahaan tetap hrs pakai ktp min ktp siapa,netral

255, slamat siang admin pembayaran bsi ebanking blm tersedia di tokped ya  bank asal saya mandiri syariah sudah pilih metode pembayaran ke mandiri syariah selalu gagal,negatif

256,halo kenapa gabisa buka emas gua nemu bug nih harusnya dapet duit hahaha,positif

257, saya kan seller ini mau ngirim paket menggunakan tiki apakah perlu membayar ongkir ke penyedia pengiriman apa tidak ya,netral

258,  jawab via dm koq template banget ya sudah di cek belum koq bisanya menyarankan saya aktif berdiskusi ini tandanya anda tidak cek langsung ke transaksi yang dimaksud,negatif

