id,fulltext,label
59,Min @TokopediaCare saya beli pulsa di tokped kok blm masuk yah diproses mulu?,negatif
60,"@TokopediaCare selamat malam admin, saya baca berita dari pln ada pogram  Super Electrilife untuk diskon tambah daya yang juga bekerja sama dengan e commerce, apakah ada info lebih detail nya admin ?, terima kasih",netral
61,@TokopediaCare halo...ini ada admin nya ga??? Bales lah DM gw....kacau nih barang ga nyampe2 masih aja pake di investigasi..udah tau penjual penipu.,negatif
62,"@TokopediaCare
Bagaimana ini? Penjual tidak merespon saya sama sekali. Saya kirim pertanyaan yg sama via Inbox, juga HANYA dibaca.. TIDAK PERNAH merespon.

Saya coba kirim screenshot ini di platform Tokopedia, gagal kirim gambar. https://t.co/zrDzr9RyD2",negatif
63,"@andriwidyanto01 @tokopedia @TokopediaCare Bantu jawab, sebaiknya disamakan kak, tapi kalau terpaksa beda pengalaman sebelumnya bisa aja kak, nanti diulasannya tulis nama kakaknya",positif
64,RT @Adityabitink: Mohon bantuanya @tokopedia @TokopediaCare saya komplain melaui email tp banyak sekali yany harus di lengkapi dan berulang…,negatif
65,"@tokopedia halo kaka admin @tokopedia @TokopediaCare 
mau tanya masih bisa beli pelatihan prakerja di tokopedia dengan nomer hp/email terdaftar yg berbeda ga ya? saya liat sudah ada banyak pelatihan di tokopedia,netralerima kasih",netral
66,"@TokopediaCare Min kalo ada kasus komplain berujung retur refund, tapi sellernya kasih alamat retur ke papua (yang mana bukan alamat asli mereka), itu bakal kena sanksi nggak sih? Soalnya bikin resah juga banyak yg ngepost kaya gini di beberapa forum facebook",negatif
67,@TokopediaCare @tokopedia Btw tokped beneran ngadain beginian??? https://t.co/DFNqZAhQJx,netral
68,"@TokopediaCare halo, saya membeli dan telah menyelesaikan pelatihan prakerja kelas menulis di @tempoinstitue melalui tokopedia, namun hingga saat ini sertifikat pelatihan belum muncul di akun pra kerja saya. Mohon konfirmasinya 🙏🏼",negatif
69,@29RAS @TokopediaCare aku juga begitu kak. bikin S&amp;K aneh2 aja dah lama2 semua akun dianggep punya 1 orang doang ckck. lagian apa salahnya payment pake mbanking orang dah min? yg penting bayar toh? ga semua orang punya mbanking soalnya @TokopediaCare,negatif
70,@TokopediaCare Hayra bisa kasih aku nomor telfon csnya aja ga? Aku mau telfon aja🙂,negatif
71,"@syfrsr @TokopediaCare Aku tau sebenernya kendalanya, gara2 temen aku juga pakai kode promo yg sama, nah aku tuh kebetulan pernah isiin ovonya dia, jadi kedetect sebagai kecurangan🙂 udah 3x komplain masih belum dibenerin juga sistemnya hahaha aku uninstall ajalah capeq",negatif
72,@TokopediaCare ini sampe kapan bakal begini? https://t.co/iTwGOlyyYK,negatif
73,Min @TokopediaCare saya selalu gagal melakukan pembelian pelatihan knp yah?,negatif
74,"@TokopediaCare maintenance sampe kapan min. Wong kupon tersedia ya dipake, malah transaksi dibatalkan https://t.co/yweziPVE0C",negatif
75,"@tokopedia @TokopediaCare ini emang goblok asli.
Ni paketku dari senin statusnya shipment to buyer. @anteraja_id ini juga ga rekomen blas, paketku aja pernah ilang di mereka. Hadeh",negatif
76,"@TokopediaCare Min aktivasi ovo saya gagal, error (2-104)...gimana nih",negatif
77,@TokopediaCare @tokopedia sekelas perusahaan ini tidak bisa memberikan info yang jelas dan sangat payah menangani laporan. meminta data ktp tanpa alasan yang jelas,negatif
78,"RT @gandahendranata: @TokopediaCare seperti robot, tidak menjawab pertanyaan, minta KTP aja trus. saya butuh penjelasan permasalahan. saya…",negatif
79,@TokopediaCare Min gw suka belanja di tokped,positif
80,RT @TokopediaCare: Sama-sama Kak Arie! Senang kendalanya udah berhasil diselesaikan yaa.😃 https://t.co/cVKBb5rRAU,positif
81,@TokopediaCare MIN BACA DM DONG. GW MAU NANGIS TAU IH. BARU JADI MITRA SELLER BARU MAU TARIK SALDO MALAH DI HOLD,negatif
82,"Baru kali ini kecewa sama @tokopedia @TokopediaCare 
Udah sampe jadi gold member. Malah diginiin. Alasan di email sama tokped care beda. Gimana sih?",negatif
83,"@TokopediaCare selamat malam, saya mohon bantuannya. Adik saya punya akun tokped dan saldo yang lumayan banyak karena refund tiket yang dibatalkan. Namun karena no.HP yang digunakan untuk verifikasi kelupaan ditop-up sehingga hangus, jadi tidak bisa menarik saldo.",negatif
84,@TokopediaCare saldo sudah terpotong dan status sudah aktif di dasbor prakerja. Mau ikut pelatihan kaga bisa soalnya ga dpt kode dr tokopedia nya... tp kenapa status nya nunggu pembayaran sedangkan saldo sudah terpotong..,negatif
85,"@TokopediaCare Nomor Invoice : INV/20210218/XXI/II/757019283
kontak wa ku udah di blokir soalnya, keknya emang nakal seller nya",negatif
86,@TokopediaCare Sudah min,positif
87,"@TokopediaCare halo, klu sudah jadi mitra tokopedia apa tidak bisa dapat banner/spanduk seperti marketplace sebelah?",negatif
88,"@TokopediaCare Kmarin udah coba 2x ga ada kode otp sms masuk, barusan blm ada 5mnt coba 2x lg tetap ga nerima kode otp sms!!Ini gmana mau masukin no.rek bank buat terima duit penjualan klo ga ada kode otp sms masuk!?Sinyal no.hp kuat no aktif sms 2hari sekian x coba ga terima jg! https://t.co/FLIU4FavjO",negatif
89,"@TokopediaCare dm saya tolong dtanggapi, terima kasih",negatif
90,"@TokopediaCare udah ku coba kak, tapi gak bisa soalnya udah ku selesaikan",negatif
91,@TokopediaCare Ga ada dm min,negatif
92,@TokopediaCare Sudah saya respon. Mohon di tanggapannya. Terima kasih,positif
93,"@TokopediaCare halo min, bsa dicek utk kupon emas mega cashback sya yg hilang? padhal blm dipakai",negatif
94,halo min @TokopediaCare kenapa dana refund trx INV/20210228/XXI/II/765525507 belum kembali ke saldo saya? diinfokan sebelumnya maksimal tanggal 9 maret seharusnya sudah kembali. terimakasih min https://t.co/7weTXvqvnR,negatif
95,@TokopediaCare Sore min. Saldo Tokopedia itu gabisa diapa-apain ya selain ditarik? Bisa gak saldo Tokopedia untuk pembayaran barang yang akan dibeli?,negatif
96,@TokopediaCare min saya ga bs beli paket prakerja kenapa ya pdhl udh 2jam loh ga saya coba2 masi aja begitu tulisannya https://t.co/Gr6yg4BjfR,negatif
97,IVR/20210310/XXI/III/660987282 sudah lewat sejam @TokopediaCare  babi,negatif
98,@TokopediaCare kak mau komplen barang yang datang tidak sesuai dengan yang ada gimana ya?,negatif
99,"@TokopediaCare @tokopedia selamat sore min. Mohon bantuan nya. Pembelanjaan dengan invois 
INV/20210309/MPL/1093401029.
Sedang dalam tahap komplain, tapi saya salah klik batalkan komplain. Terimakasih.",netral
100,"@TokopediaCare halo min, saya beli pulsa terakhir tanggal 5 maret tapi kok udah kena limit ya? emang peraturan limitnya ini gimana sekarang? https://t.co/asjUJFhxcI",netral
101,"@TokopediaCare  min mohon bantuannya saya ada DM terkait kendala pembelian barang saya, mohon bantuan min karena uangnya ga kecil
:(",negatif
102,@TokopediaCare Pembayaran OVO sedang down ya? Drtd ga bisa https://t.co/zMnzmReNHq,negatif
103,"Jika mengirim pesanan tidak menggunakan kode booking JNE melainkan input manual resi JNE, apakah biaya pengiriman yg sudah dibayarkan oleh penjual bisa di cairkan kepada penjual? @TokopediaCare",netral
104,"@TokopediaCare Halo min, semua kupon mega cashback maksimal bisa dpakai hari ini tgl 10 maret 2021 ya?",netral
105,@TokopediaCare cara dapat voucher tambah daya PLN buat program Super Electrilife gimana ya?,netral
106,@TokopediaCare ini mau beli pulsa kenapa gagal? dananya juga belum masuk. https://t.co/5gwCSmE2FL,negatif
107,"@TokopediaCare seperti robot, tidak menjawab pertanyaan, minta KTP aja trus. saya butuh penjelasan permasalahan. saya tunggu telp-nya. kenapa tidak berani dikontak? https://t.co/B6dBuDktqg",negatif
108,"@ShopeeID hati2 jualan di shopee, transaksi sdh selesai tp dana di tahan2 gk masuk saldo seller. Cuma jualan dishopee yg seperti ini. Jualan di @TokopediaCare @bukalapak @LazadaID @bliblidotcom aman2 aja, gk ada tuh tahan2 uang seller. Parah sih @ShopeeID keliatan gk profesional",negatif
109,@TokopediaCare Weisss.. Cepet juga lu min 😄,positif
110,@TokopediaCare maaf min bisa bantu penjelasan apakah dananya sudah refaun ke akun saya https://t.co/ilFwQVsmai,netral
111,"@TokopediaCare @tokopedia Maksudnya gimana ya, saya tunggu telp penjelasannya. 2 akun dalam 1 rumah tidak boleh dapat cashback? atau bagaimana? minta ktp akun lain di akun saya https://t.co/CdeLkbU23Y",negatif
112,"@29RAS @TokopediaCare kendalanya sama. udah 2x bikin emosi terus DM lama dibales, telp CS gak tau nomornya",negatif
113,"Ringtone defaultnya pengang amat di telinga, bikinin opsi ganti ringtone di appnya dong @TokopediaCare",negatif
114,@TokopediaCare Wakakaka maap marah2 ya mas mbak abis aku tu capek wkwk🙂🙂🙂,negatif
115,"@TokopediaCare @tokopedia
Sdh brp kali sy jelaskan. Sy sdh menghubungi penjual tapi sampai skr tdk ada tanggapan. https://t.co/UOvNPtc4Vn",negatif
116,"@TokopediaCare Tuh🙂 aku dah komplain total 3 kali, tetep gabisa. Memang 💩 sistemnya https://t.co/61Nano0H7f",negatif
117,"@TokopediaCare @tokopedia
Sdh brp kali sy jelaskan. Sy sdh menghubungi penjual tapi sampai skr tdk ada tanggapan https://t.co/DrfQJLOZNn",negatif
118,@TokopediaCare Mohon cek kembali DM nya kak,netral
119,"@TokopediaCare Udah daritadi kak, coba tolong respon yaa",negatif
120,"@TokopediaCare halo min, mau tanya. Kalau transaksi pakai ovo points lalu dibatalkan, saldo yg masuk setelah direfund itu ke saldo apa ya? Thank you",netral
121,positiferihal beli pulsa aja esmosi betul saya sama tokopedia @tokopedia @TokopediaCare,negatif
122,@TokopediaCare Di dm saya belum masuk,negatif
123,@TokopediaCare cara ngilangin pembayaran bri ceria bagaimana ini saya saya mau pilih pembayaran yang lain tidak bisa,negatif
124,"@TokopediaCare Saya sudah kirim email berkali kali2,mengirimkan bukti2 juga,netralp responnya mengecewakan,bahkan saya di kasih waktu smpe jam 16.00 oleh @tokopedia apabila tdk bisa menunjukan bukti jadi sukses pembeliannya,bagaimana ya baiknya ?",negatif
125,"@TokopediaCare Kronologinya : saya membeli barang yg di gadang2 barang asli 100%,netralernyata waktu barangnya tiba,barangnya palsu di saat saya minta tolong di cancel dr pihak @tokopedia @TokopediaCare syaratnya bertele tele,jelas2 dr boxnya pun sudah terlihat palsu",negatif
126,@TokopediaCare DM nya belum masuk,negatif
127,@tokopedia @TokopediaCare tolong di cancel transaksi saya dengan no ini https://t.co/EcTb7IvHUG,netral
128,"@tokopedia saya minta bantuannya kepada @tokopedia @TokopediaCare untuk menggagalkan transaksi saya dengan code sebagai berikut,karena yg saya order tidak sesuai dengan yg di kirim,dan saya tlp tidak merespon,netralerima kasih https://t.co/VCMYkyxgQF",negatif
129,@TokopediaCare Min tolong bales dm saya. Padahal saya udh nge mention brp kali,negatif
130,Mohon bantuanya @tokopedia @TokopediaCare saya komplain melaui email tp banyak sekali yany harus di lengkapi dan berulang ....syaa  tlp ke no call center tidak ada yang angkat ....bagaimana ini??,negatif
131,"@TokopediaCare min, tampilannya enakan yg lama, yg sekarang jd lelet gitu 😣",negatif
132,"@TokopediaCare knp sih 2hr ini verifikasi pin ovo loading lama banget dan gagal. Sudah coba clear cache dan re-install, masih gitu jg",negatif
133,@TokopediaCare saya tidak bisa menggunakan kode voucher yg terdapat pada IVR/20210310/XXI/III/660623679. Bagaimana caranya?,netral
134,"@TokopediaCare siang admin, cara dapat voucher tambah daya PLN buat program Super Electrilife https://t.co/81yxEPoOpN, gimana ya caranya? Sy ada pembelian elektronik tapi tidak dapat voucher.",netral
135,@TokopediaCare Maksudnya jam perbaikan gmn? Emang ini lg perbaikan atau gmn?,negatif
136,@TokopediaCare ini knp ya?? Koq gagal terus https://t.co/qURuGC6qkR,negatif
137,"@TokopediaCare @akiqaw Yg jawab robot , toko yg beneran jujur d suspend capek deh",negatif
138,@TokopediaCare misi min ini mau dibayar kog g bisa ya saya sudah ke.alfamart tp g bisa katanya https://t.co/UkA9u0Hkij,negatif
139,"@blegedetz @TokopediaCare Beneran kan om, pagi ini kupon2 om pasti ud muncul lagi, TAPI kupon om yang valid sampe kemarin hilang dan gak bisa pake..? Memang tujuannya cuma mau bikin basii kupon2 kemarin, makanya ane blg lg kehabisan modal.. Wkwkwk..",negatif
140,@TokopediaCare min sy uda pilih pengiriman Reguler (ongkir 19rb) utk dalam pulau yg sama dari toko yg pake logo gratis ongkir dan jml pembelanjaan sdh lebih dr 50rb tp kok di daftar biayanya ongkirnya masi tetep 19rb ga ada pemotongan ongkirnya??,negatif
141,@TokopediaCare min... Saya mau beli barang terus pake pengiriman GRATIS ONGKIR... tapi kurir pengirimannya kepilih otomatis antaraja... Saya mau pake gratis ongkirnya sicepat aja bisa ga?,negatif
142,RT @intan_pmk: @arieparikesit @TokopediaCare Preventive nya tokped bagus lah ya dibuat sedetail mungkin,positif
143,@dimasku @TokopediaCare @ovo_id Efek akan merger dengan Gojek? 🤣,negatif
144,Sejak kemarin malam selalu gagal pas mau checkout di @TokopediaCare pakai @ovo_id https://t.co/ls9AFu7H2h,negatif
145,"@TokopediaCare halo min, ini voucher hasil top quest saya kok ga ada ya? pdhl blm dipake.",negatif
146,"@TokopediaCare kupon yg saya dapet dari selesaikan tantangan official store kok gak ada semua min? kemarin siang sebelum maintenance masih ada, ini saya lihat siang ini udah gak ada. padahal saya belum pakai. masa aktifnya juga kan sampai akhir bulan. gimana nih, min??",negatif
147,@TokopediaCare pembayaran tagihan kartu kredit mandiri di tokped bisa bayar pake metode transfer BCA?,netral
148,"@TokopediaCare min, komplain INV/20210305/XXI/III/770024441 sudah lebih dari 2 hari kerja loh. Kapan mau diselesaikan? Apalagi yg ditunggu?",negatif
149,"@viratan @TokopediaCare Pasti.

Oh ya dr awal sampai akhir komunikasi, kata maaf satu aja ga terlontar lho, luar biasa.",negatif
150,enak ya @tokopedia main tuduh tuduh aja punya akun ganda padahal akun cuma 1 dan selama ini pakai promo cashback lancar terus. kalo emg gamau kasih cashback ilangin aja programnya. payah! @TokopediaCare,negatif
151,"@arieparikesit @TokopediaCare Wah minta @TokopediaCare ""hukum"" aja tuh seller nya. Niat ga baik",negatif
152,"@TokopediaCare Padahal saya ga nanya apa-apa:)

Tenang min, sdh dihandle sama Dik Cahya kok, ntar kalau ada apa-apa saya info ya.

Makasih banyak lho atensinya.",positif
153,@tokopedia @TokopediaCare ini ubah tampilan kok tombol PROMO jadi hilang ya? kalau mau cari page promo dari android cari dmn ya?,netral
154,@TokopediaCare min sya mau bayar pke ovo dri kemarin kok gabisabisa https://t.co/Ub9jF63eKR,negatif
155,"@arieparikesit @TokopediaCare Tapi tokped keren sih, perlindungan kostumernya bagus banget.",positif
156,"@arieparikesit @TokopediaCare Dapet figur yang sama tapi kw, bukan original Bandai 💔💔💔",negatif
157,"@adelliarosa @TokopediaCare Jd skr resolusinya, seller ksh alamat buat gue retur barang, nanto Toped lepas balik dana refund ke gue, ya rugi waktu jadinya ama emosi dikit hahaha, dituduh boong ama seller.",negatif
158,@TokopediaCare Permisi mau nanya. Boleh daftar jadi Official Store tapi Toko baru buka nggak? (Belum ada transaksi penjualan atau produk). Akan mulai berjualan jika Toko sudah menjadi Official Store,netral
159,"@TokopediaCare @liamtanu 
Terima kasih telah menemani saya selama beberapa tahun. Tapi di karenakan tokopedia banyak masalah, diantaranya ketika saya menggunakan promo vouchee cashback dari tokped harus hubungi cs &amp; klaim gugatan.",negatif
160,@tokopedia @TokopediaCare saya juga mestinya masih punya kupon cashback 50% hingga 20rb buat official store dapet dari jalanin tantangan... Itu ga balik juga abis pemeliharaan sistem... 😔,negatif
161,"@tokopedia @TokopediaCare min , ini pemeliharaan sistem dah kelar? Kupon saya banyak ga balik :( pdhl mau beli pulsa.... Kemarin ini punya kupon diskon 7rb buat beli pulsa min 100rb skrg gaada.. pdhl kalo ga salah inget berlaku sampe tgl 10 Maret..",negatif
162,"Makasi Cahya dari pusat resolusi @TokopediaCare sdh melindungi kami.

Prompt response👍👍👍 https://t.co/cPdrlsIHj5",positif
163,"@arieparikesit @TokopediaCare Kacaaaw. Pernah juga begini pas beli figur monsternya ultraman, tapi ga kepikiran komplen 💔",negatif
164,"Ada seller di Toped, iklankan barang ori di judul maupun deskrispi, pesan, datangnya KW.

Gue komplain, eh dia ganti deskripsi😆😆😆bahwa yg dijual KW, katanya gue ga baca deskripsi.

Admin @TokopediaCare mutusin, seller ada datanya ganti deskripsi setelah komplain, retur refund.",positif
165,@TokopediaCare sekarang udh ngga bisa pake ovo ya? Gagal terus saya min,negatif
166,"Hi @TokopediaCare kenapa saya mau ubah nomor telefon tidak bisa terus ya? Nomor lama saya sudah tidak aktif soalnya.
Terimakasih https://t.co/VytIpywahv",negatif
167,"@TokopediaCare mimin kenapa apl Tokopedia saya tidak bisa melakukan pembayaran, padahal saya sudah delete &amp;instal lagi apl nya😭😭 https://t.co/30jnYjxzzy",negatif
168,@TokopediaCare saya mau melakukan pembayaran pake OVO tapi sulit sekali veriikasi pin nya. kenapa yah ?,negatif
169,"@TokopediaCare Min, pemeliharaan sistem Tokopedia sampai kapan ya? Tadi masukin kode promo, kuponnya gak bisa, ada keterangan “beberapa kupon mungkin tidak muncul karena pemeliharaan jaringan”",negatif
170,"Ngapain ku masuk pusat resolusi. Ini bukan salah seller jadi ga perlu saya selaku buyer bikin komplain yg melibatkanbl seller. Ini kalian @TokopediaCare yang harusnya hubungi itu pihak kurir. Aku sebagai buyer yo males hubungi pihak kurir.
@anteraja_id ini ganti aja udah https://t.co/ZenFrHKjCs",negatif
171,@TokopediaCare  ini kenapa gx bisa bayar terus ... Kalo pake VPN baru bisa bayar aneh https://t.co/ns6oY1Tcnr,negatif
172,@TokopediaCare halo kupon saya banyak yang belum balik nih tolong cek dm tks,negatif
173,@TokopediaCare min kerja sama akulaku ke min mau belanja pakai akulaku jadi pindah ke platform lain,negatif
174,@JNECare @JNE_ID @TokopediaCare paket saya 014840005081221 kok tidak bergerak ?,negatif
175,@tokopedia parah sih ini. Udah dari rabu ke rabu belum sampai juga. Jangan tanya lagi no invoice. Tuh baca dm dengan @TokopediaCare dari kemarin2. Mati sudah ini taneman monstera gua. Bangsat https://t.co/IAXo0aJ2V5,negatif
